question,ground_truths,answer,contexts
What penalties does an entity face for violating any provision of this subchapter?,"Entities face a civil penalty of up to $500 for the first violation and each additional violation occurring on the same day, and a penalty between $500 and $1,500 for each subsequent violation.","An entity violating any provision is liable for a civil penalty of up to $500 for the first violation, and not less than $500 nor more than $1,500 for each subsequent violation occurring on the same day.","Penalties. Any employer or employment agency that violates any provision of this subchapter shall be subject to a civil penalty of not more than $500 for the first violation, and each additional violation occurring on the same day as the first violation, and for each subsequent violation, a civil penalty of not less than $500 nor more than $1,500."
Does local law 144 have penalties?,"Yes, Local Law 144 has penalties. Violations are subject to a civil penalty of up to $500 for the first violation and each additional violation on the same day, and a penalty between $500 and $1,500 for each subsequent violation.","Penalties for non-compliance with New York City Local Law 144 are $375 for the first violation, $500 for the first default, $1,350 for the second violation, $1,500 for the first default, $1,500 for the third and subsequent violations, and $1,500 for the third and subsequent default. Penalties can be incurred for failing to conduct an independent, impartial bias audit and publish a summary annually, as well as for failing to give notice. They are two separate violations.","Penalties. Any employer or employment agency that violates any provision of this subchapter shall be subject to a civil penalty of not more than $500 for the first violation, and each additional violation occurring on the same day as the first violation, and for each subsequent violation, a civil penalty of not less than $500 nor more than $1,500."
What is the responsibility of an employer or agency regarding the distribution date in a publicly available bias audit summary?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.",The employer or agency must make publicly available the distribution date of the tool to which the most recent bias audit applies before the tool's use.,"(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
"How is the ""Impact Ratio"" calculated for a category in the context of scoring by an AEDT?","The 'Impact Ratio' is calculated as either the selection rate for a category divided by the selection rate of the most selected category, or the scoring rate for a category divided by the scoring rate for the highest scoring category.","For refression systems, it is the scoring rate for a category divided by the scoring rate for the highest scoring category. For classification systems, it is the selection rate for a category divided by the selection rate for the category with the highest rate.",Impact Ratio. “Impact ratio” means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
What is the definition of an Automated Employment Decision Tool (AEDT)?,"An Automated Employment Decision Tool (AEDT) means a tool used to substantially assist or replace discretionary decision making, either by relying solely on a simplified output, using it as a primary criterion, or using it to overrule other conclusions.","An AEDT is a tool that substantially assists or replaces discretionary decision-making and relies solely on a simplified output, uses it as a weighted criterion, or uses it to overrule conclusions derived from other factors.","Automated Employment Decision Tool. “Automated employment decision tool” or “AEDT” means “Automated employment decision tool” as defined by § 20-870 of the Code where the phrase “to substantially assist or replace discretionary decision making” means:

i. to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or

ii. to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or

iii. to use a simplified output to overrule conclusions derived from other factors including human decision-making."
How can someone make a complaint about Law violations?,Complaints can be submitted by contacting 311 or the Department of Consumer and Worker Protection (DCWP) directly.,"Complaints can be submitted by contacting 311 or visiting the DCWP website, including details about the job posting, AEDT name, notice provided, and an explanation of the suspected violation.",Complaints regarding violations of this law can be submitted by contacting 311 or directly to the Department of Consumer and Worker Protection.
Is there a threshold for determining whether an automated employment decision tools are biased under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Local Law 144 does not provide thresholds for determining whether bias is occuring during a bias audit. It only provides the metrics that must be used to calculate impact ratios. However, the metric for calculating impact ratios is similar to the four-fifths rule, particularly in the case of the classification metric. The four-fifths rule says that the hiring rate of one group must not be less than four-ffiths of the hiring rate of the group with the highest rate. Therefore, auditors can optionally extrapolate from the four-fifths rule and use the .80 threshold to identify exceptions, but this is not required.",
Does local law 144 have notification requirements?,"The notification requirements of Local Law 144 include informing candidates or employees at least 10 business days before using an automated employment decision tool. This notice must be clear and conspicuous, and can be provided via the employment section of the website, a job posting, U.S. mail, or e-mail.","Under Local Law 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them. This  notice shall must made at least ten business days before the use of an automated employment decision tools and allow a candidate to request an alternative selection process or accommodation. The notice must also include the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process.

        (b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

        (1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

        (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

        (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
Can employers use an AEDT without a bias audit if they do not have NYC residents as candidates?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The law applies if the AEDT is used ""in the city,"" which includes having an office in NYC, a fully remote job associated with an NYC office, or an employment agency located in NYC.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Where should information about data collection and retention policies be available?,Information about data collection must be posted on the employment section of the employer or employment agency's website in a clear and conspicuous manner.,"If not disclosed on the employer or employment agencyÕs website, such information should be available upon written request by a candidate or employee.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data;

(2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days;"
What is a candidate for employment under Local Law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Candidate for employment means a person who has applied for a specific employment position by submitting the necessary information or items in the format required by the employer or employment agency.  If an AEDT is used to assess someone who is not an employee being considered for promotion and who has not applied for a specific position for employment, the bias audit and notice requirements do not apply. Therefore, automated employment decision tools to scan a resume bank, conduct outreach to potential candidates, or invite applications are not used to evaluate candidates for employment.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What entities can conduct a bias audit for an automated employment decision tool?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.",A bias audit must be conducted by an independent auditor.,"(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What is the definition of an automated employment decision tool?,"An Automated Employment Decision Tool (AEDT) means a tool used to substantially assist or replace discretionary decision making, either by relying solely on a simplified output, using it as a primary criterion, or using it to overrule other conclusions.","An automated employment decision tool is any computational process derived from machine learning, statistical modeling, data analytics, or artificial intelligence that issues simplified output used to assist or replace discretionary decision-making for employment decisions affecting individuals.","Automated Employment Decision Tool. “Automated employment decision tool” or “AEDT” means “Automated employment decision tool” as defined by § 20-870 of the Code where the phrase “to substantially assist or replace discretionary decision making” means:

i. to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or

ii. to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or

iii. to use a simplified output to overrule conclusions derived from other factors including human decision-making."
Who can conduct an aedt bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Local Law 144 requires impartial, independent bias audits by an independent auditor.  An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be self-conducted","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Can a violation of the notice requirements lead to a separate penalty?,"Yes, a violation of the notice requirements can lead to penalties, including a civil penalty of up to $500 for the first violation and each additional violation on the same day, and a penalty between $500 and $1,500 for each subsequent violation.","Yes, failure to provide any notice to a candidate or an employee in violation of specific notice requirements constitutes a separate violation.","Penalties. Any employer or employment agency that violates any provision of this subchapter shall be subject to a civil penalty of not more than $500 for the first violation, and each additional violation occurring on the same day as the first violation, and for each subsequent violation, a civil penalty of not less than $500 nor more than $1,500."
Who enforces the NYC Human Rights Law related to discrimination claims involving AEDT use?,Discrimination claims involving AEDT use under the NYC Human Rights Law are enforced by the New York City Commission on Human Rights (NYCCHR).,Discrimination claims involving AEDT use under the NYC Human Rights Law should be directed to the NYC Commission on Human Rights.,Discrimination claims involving AEDT use under the NYC Human Rights Law are enforced by the New York City Commission on Human Rights (NYCCHR).
What options does a candidate have upon receiving notice about the use of an automated employment decision tool?,"Upon receiving notice of AEDT usage, a candidate has the option to request an alternative selection process or a reasonable accommodation under other laws, if available.",A candidate can request an alternative selection process or accommodation upon receiving notice about the use of the tool.,
What options does a candidate have upon receiving notice about the use of an AEDT in the hiring or promotion process?,"Upon receiving notice of AEDT usage, a candidate has the option to request an alternative selection process or a reasonable accommodation under other laws, if available.","A candidate can request an alternative selection process or a reasonable accommodation under other laws, if available, as instructed in the notice.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available."
"Is an ""employment decision"" limited to the final hiring or promotion decision?","No, an 'employment decision' is not limited to the final hiring decision. It includes screening candidates for employment or employees for promotion within the city using an AEDT.","No, it includes screening at any point in the hiring or promotion process where an AEDT is substantially used.",Employment Decision. “Employment decision” means to screen candidates for employment or employees for promotion within the city using an AEDT.
What are the metrics required for conduting bias audits under local law 144?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Under Local Law 144, an independent auditor must calculate impact ratios for subgroups at both the standalone level (i.e., based on sex categories and race/ethnicity categories) and at the intersectional level at the intersection of race/ethnicity and sex e.g., Hispanic or Latino males. There is one metric for calculating impact ratios for regression or continuous systems and one for classification systems. For classification systems, the impact ratio must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate. For regression systems, the scoring rate must first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. Similar to with classification systems, the scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Can an employer continue using an AEDT if more than a year has passed since the last bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","No, the law requires a bias audit at least once a year, and employers can only rely on a bias audit conducted within the past year.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What are the summary of results requirements for local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Employers and employment agencies using automated employment decision tools to evaluate a candidate for employment or employee for promotion must publish a summary of the results of the independent bias audit. This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate. This summary of results is required to be made publicly available on the employment section of the website of the employer or employment agency in a clear and conspicuous manner. This requirement may be met with an active hyperlink to a website containing the required summary of results and distribution date, provided that the link is clearly identified as a link to results of the bias audit. An employer or employment agency must keep the summary of results and distribution date posted for at least 6 months after its latest use of the AEDT for an employment decision.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
Can an employer or agency use an automated employment decision tool if it has not been subject to a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","No, it is unlawful to use such a tool unless it has been the subject of a bias audit conducted within the last year if using it to evaluate individuals in new york city.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What is a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","An impartial evaluation by an independent auditor, including calculations of selection or scoring rates and impact ratios across various categories.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What is an aedt under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","under Local Law 144, automated employment decision tools are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. This does not include a tool that does not automate, support, substantially assist or replace discretionary decision-making processes and that does not materially impact natural persons, including, but not limited to, a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other compilation of data.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What does it mean to substantially assist or replace discretionary decision making under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Under Local Law 144, to substantially assist or replace discretionary decision making means to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or to use a simplified output to overrule conclusions derived from other factors including human decision-making.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What rights are preserved by the construction provision (¤ 20-874) of this subchapter?,Employers can rely on test data for a bias audit if insufficient historical data is available to conduct a statistically significant bias audit. The summary of results must explain why historical data was not used and describe how the test data was generated and obtained.,"The provisions do not limit the right of any candidate or employee to bring a civil action, and they do not limit the authority of the commission on human rights to enforce the provisions of title 8.","(b) Test Data. Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
What if employers have minimal historical data or do not collect demographic data from applicants?,Test data can be used for the bias audit if there is insufficient historical data to conduct a statistically significant audit.,Test data can be used for the bias audit if there's insufficient historical data.,"(b) Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
Who needs to comply with local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool in New York City must comply with Local Law 144. To use an automated employment decision tool in the city means that the job location is in an office in New York City, at least part time, the job is fully remote but asspcoated with an office in New York City, or the employment agency or employer is located in New York City.",
Who is responsible for complying with the Law's bias audit requirement?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.",Employers and employment agencies are responsible for ensuring no AEDT is used without a completed bias audit.,"(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What was the timeline for local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Local Law 144 was introduced in February 2020 and enacted in November 2021. It went into effect on 1 January 2023, but in September 2022, New York City's Department of Consumer and Worker Protection (DCWP) published rules for the enforcement of the law. A public hearing on these rules was scheduled for October 2022 but rescheduled to November 2022 due to capacity issues. Following the hearing, DCWP published a second version of the rules and announced the enforcement date was being pushed back to 15th April 2023. A second public hearing was held in January 2023 on the second rules before the final rules were adopted on 6th April 2023 and the enforcement date was pushed back a final time to 5 July 2023.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
Does local law 144 target ai tools?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. Therefore, it does not just target artificial intelligence driven tools.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
"How can you determine if a tool uses machine learning, statistical modeling, data analytics, or artificial intelligence?",Proceedings to recover civil penalties are returnable to the Office of Administrative Trials and Hearings (OATH).,"The tool must generate predictions or classifications, identify inputs and their importance, and improve accuracy through computer-based techniques. Examples include assessing a candidate's fit or likelihood of success.",Proceedings to recover civil penalties under this rule shall be returnable to the Office of Administrative Trials and Hearings (OATH).
What entities are authorized to conduct proceedings to recover civil penalties under this subchapter?,Employers can rely on test data for a bias audit if insufficient historical data is available to conduct a statistically significant bias audit. The summary of results must explain why historical data was not used and describe how the test data was generated and obtained.,Proceedings to recover civil penalties are returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings.,"(b) Test Data. Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
Under what circumstances can an employer or agency refuse disclosure of information about the AEDT?,"An employer or agency can refuse to disclose AEDT information if the disclosure would interfere with a law enforcement investigation or violate local, state, or federal law.","Information disclosure can be refused if it would violate local, state, or federal law or interfere with a law enforcement investigation, as explained to the candidate or employee.","(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
Can an employer or agency use an automated employment decision tool without making information about data collection available upon written request?,"No, an employer or agency cannot use an automated employment decision tool without providing information about the type of data collected. This information must be provided on the employment section of the website.","No, information about data collection must be provided within 30 days of a written request by a candidate or employee.",
What does it mean to screen someone under Local Law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.",To screen a candidate under local law 144 means to make a determination about whether a candidate for employment or employee being considered for promotion should be selected or advanced in the hiring or promotion process,"The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
